Class,Channel,KS p-value,KS Statistic,Wasserstein Distance,Interpretation
AL,Fp1,0.0,0.5048,26.4134,Different ❌
AL,Fp2,0.0,0.5035,26.6661,Different ❌
AL,F3,0.0,0.5011,26.5027,Different ❌
AL,F4,0.0,0.4972,27.0177,Different ❌
AL,C3,0.0,0.5038,25.7388,Different ❌
AL,C4,0.0,0.5012,25.8051,Different ❌
AL,P3,0.0,0.5049,25.9227,Different ❌
AL,P4,0.0,0.5079,25.9843,Different ❌
AL,O1,0.0,0.5136,26.9146,Different ❌
AL,O2,0.0,0.5116,26.5771,Different ❌
AL,F7,0.0,0.5074,27.177,Different ❌
AL,F8,0.0,0.4982,27.6845,Different ❌
AL,T3,0.0,0.5062,26.6409,Different ❌
AL,T4,0.0,0.5009,26.4414,Different ❌
AL,T5,0.0,0.5073,26.4056,Different ❌
AL,T6,0.0,0.5066,26.0873,Different ❌
AL,Fz,0.0,0.5018,25.9712,Different ❌
AL,Cz,0.0,0.5117,26.5635,Different ❌
AL,Pz,0.0,0.5093,25.8551,Different ❌
MCI,Fp1,0.0,0.4979,27.9964,Different ❌
MCI,Fp2,0.0,0.5087,27.7292,Different ❌
MCI,F3,0.0,0.5103,27.9083,Different ❌
MCI,F4,0.0,0.5058,28.0242,Different ❌
MCI,C3,0.0,0.5034,26.0947,Different ❌
MCI,C4,0.0,0.5094,25.975,Different ❌
MCI,P3,0.0,0.5018,26.2818,Different ❌
MCI,P4,0.0,0.5072,26.363,Different ❌
MCI,O1,0.0,0.5069,27.37,Different ❌
MCI,O2,0.0,0.5031,28.5321,Different ❌
MCI,F7,0.0,0.504,28.2546,Different ❌
MCI,F8,0.0,0.503,28.5023,Different ❌
MCI,T3,0.0,0.5065,27.6671,Different ❌
MCI,T4,0.0,0.5054,27.4552,Different ❌
MCI,T5,0.0,0.5051,27.5842,Different ❌
MCI,T6,0.0,0.5067,28.0529,Different ❌
MCI,Fz,0.0,0.5032,26.4475,Different ❌
MCI,Cz,0.0,0.5002,26.3209,Different ❌
MCI,Pz,0.0,0.501,26.528,Different ❌
HC,Fp1,0.0,0.4989,27.6942,Different ❌
HC,Fp2,0.0,0.5032,27.7843,Different ❌
HC,F3,0.0,0.4976,27.3038,Different ❌
HC,F4,0.0,0.5005,27.5368,Different ❌
HC,C3,0.0,0.4992,25.5797,Different ❌
HC,C4,0.0,0.4979,25.3856,Different ❌
HC,P3,0.0,0.5031,26.301,Different ❌
HC,P4,0.0,0.5017,25.8469,Different ❌
HC,O1,0.0,0.5062,27.4792,Different ❌
HC,O2,0.0,0.5042,27.6041,Different ❌
HC,F7,0.0,0.5023,28.2029,Different ❌
HC,F8,0.0,0.4998,28.43,Different ❌
HC,T3,0.0,0.4993,26.927,Different ❌
HC,T4,0.0,0.5002,27.1396,Different ❌
HC,T5,0.0,0.5027,26.7532,Different ❌
HC,T6,0.0,0.4979,28.3646,Different ❌
HC,Fz,0.0,0.5069,26.2464,Different ❌
HC,Cz,0.0,0.5018,25.8444,Different ❌
HC,Pz,0.0,0.5031,25.8817,Different ❌
